%time,field.header.seq,field.header.stamp,field.header.frame_id,field.sim_step,field.type.data,field.parent_name.data,field.identifier.data,field.name.data,field.wall_time,field.sim_time,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.actuated
1683408597219956668,3566,1683408597215587854,,5668,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.3176155090332,47.233333587646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597228299799,3567,1683408597223343372,,5669,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.325950622558594,47.24166488647461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597236609595,3568,1683408597231753588,,5670,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.33428192138672,47.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597244941113,3569,1683408597240384817,,5671,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.34261703491211,47.25833511352539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597253274352,3570,1683408597248229980,,5672,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.350948333740234,47.266666412353516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597261608340,3571,1683408597256924868,,5673,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.359283447265625,47.275001525878906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597269946202,3572,1683408597265336514,,5674,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.36761474609375,47.28333282470703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597278278478,3573,1683408597273440361,,5675,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.37594985961914,47.29166793823242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597286587294,3574,1683408597282009840,,5676,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.384281158447266,47.29999923706055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597294970633,3575,1683408597290422440,,5677,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.392616271972656,47.30833435058594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597303310618,3576,1683408597298307896,,5678,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.40095138549805,47.31666564941406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597311635288,3577,1683408597306715250,,5679,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.40928268432617,47.32500076293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597319937656,3578,1683408597315511703,,5680,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.41761779785156,47.33333206176758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597328306940,3579,1683408597323393822,,5681,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.42594909667969,47.34166717529297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597336633977,3580,1683408597331735849,,5682,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.43428421020508,47.349998474121094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1683408597344958724,3581,1683408597340537310,,5683,CONSTRAINT,/ambf/env/psm1/BODY tool yaw link,/ambf/env/psm1/ACTUATOR Actuator0,Actuator0,47.4426155090332,47.358333587646484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
